Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
African Elephant,South America,53.27,58.5,28.77,12.98,1.83,76.61,1,0,0
Galapagos Penguin,East Asia,58.1,32.72,4.13,70.69,1.4,69.64,0,1,0
Kakapo,South Asia,80.05,26.51,36.39,43.07,1.89,92.23,1,0,1
Amur Leopard,North America,63.2,47.02,33.52,74.63,2.25,83.93,1,0,0
Amur Leopard,South Asia,65.93,29.61,8.32,14.18,2.26,55.48,1,0,1
Sumatran Tiger,South America,59.53,69.74,6.77,16.61,1.75,84.96,1,1,0
African Elephant,Europe,79.04,30.11,26.84,37.79,2.19,90.47,1,1,0
Javan Rhino,Central Asia,56.06,36.51,41.8,7.31,1.94,80.75,0,0,1
Hawksbill Turtle,Oceania,84.47,55.38,25.83,35.87,2.48,95.92,0,0,1
African Elephant,South America,60.1,42.38,17.98,21.22,1.95,90.83,1,0,1
Pangolin,Central Asia,84.87,30.26,27.45,28.11,0.96,70.31,1,1,0
Hellbender Salamander,Southeast Asia,70.69,76.52,31.22,49.69,2.31,64.25,1,1,1
Sea Otter,Central Asia,37.72,36.98,30.02,51.52,1.84,63.88,1,1,0
Galapagos Penguin,Oceania,66.03,47.45,4.81,94.46,1.9,96.02,1,0,1
Javan Rhino,Sub-Saharan Africa,64.09,47.28,8.36,63.48,2.12,85.57,0,0,0
Galapagos Penguin,Southeast Asia,58.11,59.23,29.3,3.97,1.5,63.42,0,0,0
Red Panda,Southeast Asia,78.22,56.01,5.65,14.02,2.03,46.61,1,0,0
Giant Panda,Oceania,81.44,39.25,23.99,15.12,2.19,85.68,0,0,1
Asian Elephant,Europe,61.56,45.76,9.1,59.06,2.13,87.4,0,0,1
Saola,Sub-Saharan Africa,72.84,47.05,21.69,85.55,1.79,61.29,1,0,0
Red Panda,Europe,92.63,59.74,7.51,9.87,2.35,84.41,1,1,0
Vaquita,Europe,81.66,34.81,20.43,60.11,1.65,94.9,0,1,1
Mountain Gorilla,South America,95.95,76.24,7.15,30.75,1.78,55.55,1,0,0
California Condor,North America,86.84,40.13,3.37,27.48,1.95,83.5,1,0,0
Galapagos Penguin,Middle East,83.07,49.89,39.45,18.35,2.1,93.02,0,0,1
Kakapo,North America,66.42,34.92,13.19,24.52,1.89,74.33,1,0,0
Amur Leopard,Central Asia,80.6,33.12,44.65,36.0,2.43,86.51,0,0,0
Asian Elephant,North America,94.77,38.63,9.69,20.22,2.1,60.79,0,0,0
Pangolin,Oceania,62.15,37.38,56.87,41.53,2.03,97.21,0,0,1
Saola,Sub-Saharan Africa,68.34,44.61,67.73,27.57,2.09,26.1,0,1,0
Saola,Southeast Asia,82.23,37.27,25.99,25.21,2.26,76.75,1,1,0
Hawksbill Turtle,Europe,81.63,59.04,1.79,47.3,2.08,75.25,0,1,1
African Elephant,South Asia,69.81,39.82,20.1,38.58,1.37,55.94,1,1,0
Pangolin,South Asia,91.27,38.38,39.9,2.64,2.38,80.12,1,0,0
Whooping Crane,Southeast Asia,82.53,44.89,37.63,42.84,2.04,71.75,0,1,1
Bengal Tiger,Sub-Saharan Africa,84.87,62.91,17.8,37.0,2.24,68.93,0,1,0
Sumatran Tiger,Southeast Asia,86.06,52.79,25.09,66.28,1.86,86.04,1,1,0
Asian Elephant,Central Asia,73.71,48.7,45.65,38.11,1.36,67.58,1,1,0
Blue Whale,South Asia,69.92,31.37,4.91,23.43,1.2,87.74,0,0,0
Iberian Lynx,Sub-Saharan Africa,75.87,35.14,0.71,17.76,1.67,83.6,1,1,1
Mountain Gorilla,South America,78.55,33.38,7.15,5.99,2.18,70.92,0,1,0
Sea Otter,Sub-Saharan Africa,93.82,66.99,11.13,30.41,2.45,54.09,1,1,1
Javan Rhino,South America,76.84,56.9,7.07,15.27,2.11,91.17,0,1,0
Black Rhino,South America,58.88,38.8,2.4,73.18,1.63,70.95,1,0,0
Bengal Tiger,Middle East,66.69,42.66,12.41,31.43,1.73,93.18,1,1,0
Hellbender Salamander,North America,97.34,39.27,18.78,11.65,2.48,87.67,1,1,1
Saola,South Asia,77.01,38.48,28.72,4.3,1.54,66.85,1,1,0
Whooping Crane,Central Asia,57.87,55.98,18.61,6.37,2.74,77.43,1,1,0
Kakapo,Middle East,77.54,46.26,26.02,40.29,2.66,91.79,1,1,0
Galapagos Penguin,South America,87.86,77.06,5.31,78.91,2.75,85.21,1,1,1
Sea Otter,South America,54.17,66.25,37.0,46.51,2.13,68.11,1,1,0
Mountain Gorilla,Sub-Saharan Africa,83.19,67.02,39.16,28.04,1.88,72.49,1,1,1
Vaquita,Southeast Asia,88.93,58.73,50.35,109.04,2.12,89.44,0,0,1
Saola,Middle East,78.58,44.51,19.34,53.84,2.32,83.59,0,1,0
Red Panda,Europe,51.68,57.77,63.03,38.37,1.77,81.14,0,1,1
Bengal Tiger,South America,55.38,45.47,35.76,22.91,1.61,63.62,1,1,0
Pangolin,Europe,82.39,71.19,32.38,81.67,1.9,89.06,1,0,0
Giant Panda,Central Asia,47.35,55.26,31.52,24.73,1.73,94.81,0,0,1
Sea Otter,North America,96.94,53.41,26.69,15.22,2.43,97.61,0,0,1
Javan Rhino,Sub-Saharan Africa,90.67,51.65,52.6,28.98,1.78,87.47,1,1,1
California Condor,South America,82.4,72.62,19.18,33.6,2.03,73.24,1,1,0
Sea Otter,South America,64.01,31.36,10.32,57.14,2.34,64.59,0,1,0
Vaquita,Middle East,73.45,73.9,5.41,14.91,2.45,41.67,0,1,0
Hellbender Salamander,North America,77.12,47.58,40.18,17.45,2.07,63.96,0,1,1
Amur Leopard,Sub-Saharan Africa,71.19,31.72,43.34,18.27,2.13,92.89,0,0,0
Black Rhino,Middle East,90.96,40.22,53.45,27.8,1.64,68.22,1,0,1
Whooping Crane,East Asia,63.9,28.54,8.61,11.88,2.36,83.08,0,0,0
Vaquita,North America,76.85,58.5,22.94,72.58,2.44,73.24,0,1,1
Bengal Tiger,South Asia,67.39,36.5,56.11,6.44,1.35,87.65,0,1,1
Saola,Middle East,65.73,52.19,32.84,83.26,2.62,56.93,0,0,0
Galapagos Penguin,South Asia,83.18,64.74,32.3,53.22,1.75,81.38,1,1,1
Mountain Gorilla,Southeast Asia,79.94,41.26,62.1,14.09,2.21,90.09,1,0,1
Saola,Southeast Asia,61.02,46.51,17.52,26.05,2.03,60.17,0,1,0
Giant Panda,East Asia,77.7,33.06,17.32,16.2,1.98,61.72,0,0,0
Javan Rhino,South America,93.66,44.95,46.02,53.87,1.93,82.97,1,1,1
Saola,Central Asia,70.15,83.46,54.16,77.47,1.65,92.69,1,0,1
Black Rhino,Middle East,85.07,60.11,16.26,175.71,2.18,69.3,0,1,1
Hawksbill Turtle,South America,70.78,46.56,23.31,44.39,1.9,89.19,0,0,1
Axolotl,Central Asia,85.34,42.05,26.91,6.64,1.54,77.54,1,1,0
Kakapo,Central Asia,75.82,49.45,6.36,13.11,1.64,61.16,0,0,0
California Condor,Oceania,80.39,51.69,29.49,42.8,1.55,98.59,1,0,0
Amur Leopard,Sub-Saharan Africa,65.45,44.55,23.16,26.95,1.82,76.48,0,0,1
Mountain Gorilla,South Asia,69.22,56.89,30.49,52.7,2.17,96.3,0,1,1
Asian Elephant,Central Asia,97.51,37.61,13.96,38.88,1.75,96.71,1,0,0
Iberian Lynx,South America,43.0,37.54,10.05,14.28,2.34,88.14,0,1,1
Javan Rhino,Central Asia,90.41,54.81,2.85,23.64,1.96,91.16,1,0,1
African Elephant,Middle East,77.76,34.81,19.85,54.5,1.9,64.82,0,1,0
Orangutan,East Asia,79.87,59.48,2.32,40.53,2.01,69.16,1,1,0
Galapagos Penguin,Sub-Saharan Africa,58.25,49.81,91.23,53.12,2.49,40.8,1,0,1
Asian Elephant,Southeast Asia,59.18,26.24,49.69,9.18,1.52,65.55,1,1,0
Amur Leopard,North America,62.51,51.42,14.77,15.2,2.58,74.12,0,1,0
Asian Elephant,Middle East,64.34,28.09,12.73,69.01,2.34,89.27,0,0,1
Sumatran Tiger,Sub-Saharan Africa,65.52,59.01,28.38,9.56,1.99,84.44,0,1,0
Vaquita,North America,88.81,46.77,9.16,50.9,2.41,93.35,1,1,1
Whooping Crane,Oceania,43.93,74.06,63.67,8.48,1.89,68.68,1,1,0
Orangutan,East Asia,92.11,63.93,21.85,33.21,2.1,70.07,0,1,1
Hawksbill Turtle,East Asia,64.54,36.21,41.68,20.9,1.81,63.39,1,0,1
Javan Rhino,North America,43.85,23.73,21.97,14.1,2.34,67.52,0,1,1
Iberian Lynx,Oceania,48.61,40.18,41.1,35.26,1.75,79.07,0,0,1
Giant Panda,East Asia,55.79,34.12,31.7,66.7,1.98,86.14,1,0,0
Asian Elephant,Oceania,50.62,73.73,23.59,17.11,2.24,78.06,0,1,0
Mountain Gorilla,Central Asia,77.33,49.87,19.14,3.29,2.37,69.97,1,1,0
Asian Elephant,Europe,98.72,62.13,12.02,27.57,1.71,77.44,1,1,1
Snow Leopard,Europe,67.79,46.29,10.62,13.97,2.26,81.49,0,0,0
Galapagos Penguin,Middle East,72.96,47.66,59.76,55.3,1.66,71.52,0,0,1
Galapagos Penguin,Southeast Asia,77.06,49.58,16.34,20.85,1.25,57.57,0,0,1
